mastr_id,Anzeigename,norm_name,Energietraeger,Nettonennleistung_MW,Postleitzahl,Ort
SEE917096062495,KWK Anlage Großenkneten,kwk anlage großenkneten,Erdgas,30.16,26197,Großenkneten
SEE918093565491,Speicher GG III (Teil 2),speicher gg iii,Batteriespeicher,7.0,19372,Groß Godems
SEE901268232014,trlyr 4,trlyr 4,Batteriespeicher,15.804,04720,Döbeln
SEE906120609386,DTS 2,dts 2,Erdgas,28.448,68305,Mannheim
SEE911689709217,Dampfturbine 2,dampfturbine 2,Erdgas,6.0,37412,Herzberg
SEE917331286914,Werk 1.1 KWK 2,werk 1 1 kwk 2,Erdgas,4.5,80809,München
SEE918143230942,Walsum 10,walsum 10,Steinkohle,725.0,47179,Duisburg
SEE921059219284,Küstenkraftwerk K.I.E.L Motor 7,küstenkraftwerk k i e l motor 7,Erdgas,9.456,24149,Kiel
SEE915985628661,Pumpspeicherkraftwerk Erzhausen,pumpspeicherkraftwerk erzhausen,Pumpspeicher,200.0,37574,Einbeck
SEE920999677857,Bergheim E K3,bergheim e k3,Wasser,7.9,86673,Bergheim
SEE921905907730,Niederaußem G,niederaußem g,Braunkohle,628.0,50129,Bergheim
SEE900128586359,HKW-Sandreuth (Müll),hkw-sandreuth,Waerme,18.8,90441,Nürnberg
SEE901248773803,Ettling K3,ettling k3,Wasser,4.1,94522,Wallersdorf
SEE901980882672,KW Kühtai - Maschine 2,kw kühtai - maschine 2,Pumpspeicher,144.5,6183,Kühtai
SEE902845037787,Werk 1.1 KWK 3,werk 1 1 kwk 3,Erdgas,4.5,80809,München
SEE913088869400,Kombi-HKW GT1,kombi-hkw gt1,Erdgas,15.29,34134,Kassel
SEE929516405690,BMK Lünen,bmk lünen,Biomasse,18.5,44536,Lünen
SEE930277153294,Mitte BHKW 2 Modul 7,mitte bhkw 2 modul 7,Erdgas,4.472,47053,Duisburg
SEE930322142068,KW Säckingen B8,kw säckingen b8,Pumpspeicher,90.0,79713,Bad Säckingen
SEE931018364146,KW Wehr MS A10,kw wehr ms a10,Pumpspeicher,227.5,79664,Wehr
SEE902474184968,Biomethan BHKW 1 Hannover Stöcken,biomethan bhkw 1 hannover stöcken,Biomasse,4.5,30419,Hannover
SEE909387693235,KWK Gütersloh,kwk gütersloh,Biomasse,12.1,33332,Gütersloh
SEE912906399075,HKW Eltmann,hkw eltmann,Erdgas,75.185,97483,Eltmann
SEE922911017253,Wintrich Maschine 2,wintrich maschine 2,Wasser,5.0,54487,Wintrich
SEE915885358156,HKW III  Block B,hkw iii block b,Erdgas,75.2,47249,Duisburg
SEE916134140720,Biomassekraftwerk Landesbergen,biomassekraftwerk landesbergen,Biomasse,20.0,31628,Landesbergen
SEE918705951896,GT2,gt2,Erdgas,40.428,01987,Schwarzheide
SEE905192478234,Knapsack I - Gasturbine GT12,knapsack i - gasturbine gt12,Erdgas,295.0,50354,Hürth
SEE906326984744,Weiher 3,weiher 3,Steinkohle,655.6,66287,Quierschied
SEE916264433549,KWK-Modul 3-H Gotha West,kwk-modul 3-h gotha west,Erdgas,3.3314,99867,Gotha
SEE916286398239,W059-RD_Geb. 130/8_1001-1029,w059-rd_geb 130 8_1001-1029,Mineraloelprodukte,9.042,70327,Stuttgart
SEE916662059105,GuD-Block 1,gud-block 1,Erdgas,36.0,18069,Rostock
SEE918028674410,GM9,gm9,Erdgas,4.457,83022,Rosenheim
SEE920575296687,"Kraftwerk VII, Block 71, GT711",kraftwerk vii block 71 gt711,Erdgas,55.77,45772,Marl
SEE921509939243,PASM Großspeicher Bamberg I (Intillion),pasm großspeicher bamberg i,Batteriespeicher,5.4,96050,Bamberg
SEE902329484380,Dampfturbine I Südzucker Wabern,dampfturbine i südzucker wabern,Waerme,11.8754,34590,Wabern
SEE910204132950,KW Wyhlen Francis 09,kw wyhlen francis 09,Wasser,2.166,79639,Grenzach-Wyhlen
SEE908096553144,GBS 2 KW Bexbach,gbs 2 kw bexbach,Batteriespeicher,15.0,66450,Bexbach
SEE909106315790,TG-1904,tg-1904,Mineraloelprodukte,13.5,76187,Karlsruhe
SEE914018262315,016 BHKW Modul 3,016 bhkw modul 3,Erdgas,2.05,53127,Bonn
SEE921877855527,Gasturbine 01 Industriekraftwerk,gasturbine 01 industriekraftwerk,Erdgas,58.5,06406,Bernburg
SEE902489482608,KW Laufenburg Maschine 4,kw laufenburg maschine 4,Wasser,10.442,5080,Laufenburg
SEE905731198661,"Duotherm-Anlage, Biomasse",duotherm-anlage biomasse,Biomasse,5.0,27570,Bremerhaven
SEE913203719740,GKW,gkw,Sonstige Energietraeger (nicht erneuerbar),89.337,66763,Dillingen
SEE913198518410,KW Waldshut MS B5,kw waldshut ms b5,Pumpspeicher,44.0,79761,Waldshut-Tiengen
SEE921316314745,BHKW Obere Viehweide M3 (Waldhäuser Str 100),bhkw obere viehweide m3,Erdgas,3.288,72076,Tübingen
SEE925388069183,HKW Schwarza GT 6,hkw schwarza gt 6,Erdgas,4.939,07407,Rudolstadt
SEE901506319514,WKW Rudolf-Fettweis-Werk Murgwerk M3,wkw rudolf-fettweis-werk murgwerk m3,Wasser,4.4,76596,Forbach
SEE902932530221,Second Foundation BESS Oberröblingen,second foundation bess oberröblingen,Batteriespeicher,13.8,06526,Sangerhausen
SEE907667929555,HKW Dresden-Nord,hkw dresden-nord,Erdgas,11.5,01099,Dresden
SEE913896693631,Tiefstack GuD GT41,tiefstack gud gt41,Erdgas,50.0,22113,Hamburg
SEE918928929085,illwerke vkw Rodundwerk I M4,illwerke vkw rodundwerk i m4,Wasser,50.0,A-6773,Vandans
SEE922579581844,GT2,gt2,Erdgas,4.946,53909,Zülpich
SEE924053403383,"Shell Energy and Chemicals Park, Kraftwerk Wesseling, Turbine 5",shell energy and chemicals park kraftwerk wesseling turbine 5,Mineraloelprodukte,34.3,50389,Wesseling
SEE904161631090,Heizkraftwerk Altbach/Deizisau GT C,heizkraftwerk altbach deizisau gt c,Erdgas,81.0,73776,Altbach
SEE907389779292,Boxberg Block Q,boxberg block q,Braunkohle,840.0,02943,Boxberg
SEE907892165506,Cuno Heizkraftwerk Herdecke BHKW1,cuno heizkraftwerk herdecke bhkw1,Erdgas,1.95,58313,Herdecke
SEE912160334607,Leuna GT2,leuna gt2,Erdgas,37.0,06237,Leuna
SEE928076311489,Fernwärmekraftwerk Kassel DT2,fernwärmekraftwerk kassel dt2,Braunkohle,33.5,34134,Kassel
SEE928761575349,EEW Großräschen GmbH,eew großräschen gmbh,Abfall,25.0,01983,Großräschen
SEE927787059284,BHKW Hastedt Motor 04,bhkw hastedt motor 04,Erdgas,11.6794,28207,Bremen
SEE933236950972,Scholven C,scholven c,Steinkohle,345.0,45896,Gelsenkirchen
SEE933564106935,Emsland B GT1,emsland b gt1,Erdgas,58.0,49808,Lingen
SEE933767950021,AEG,aeg,Biomasse,3.705,46325,Borken
SEE922286010279,TEAtherm,teatherm,Biomasse,9.68,91550,Dinkelsbühl
SEE925056670925,M_01.2,m_01 2,Erdgas,4.337,53474,Bad Neuenahr-Ahrweiler
SEE925411264011,Turbine 5,turbine 5,Waerme,1.93,47829,Krefeld
SEE925720506642,Kraftwerk WI GT,kraftwerk wi gt,Erdgas,16.8,36266,Heringen
SEE902444234136,Eitting E F2,eitting e f2,Wasser,9.0,85462,Eitting
SEE904017020009,ET HO5,et ho5,Sonstige Energietraeger (nicht erneuerbar),9.52,66763,Dillingen
SEE923058511512,Ettling K2,ettling k2,Wasser,4.1,94522,Wallersdorf
SEE923943268279,Kraftwerk Jänschwalde Block D,kraftwerk jänschwalde block d,Braunkohle,500.0,03185,Teichland
SEE930647914081,Gasmotoren-Heizkraftwerk Dresden-Reick - Aggregat III,gasmotoren-heizkraftwerk dresden-reick - aggregat iii,Erdgas,11.5,01277,Dresden
SEE941552924256,Küstenkraftwerk K.I.E.L Motor 15,küstenkraftwerk k i e l motor 15,Erdgas,9.456,24149,Kiel
SEE947313574326,Kraftwerk Rosenheim MS3,kraftwerk rosenheim ms3,Wasser,11.7,83101,Rohrdorf
SEE948869114622,Turbosatz 4,turbosatz 4,Erdgas,6.6104,86833,Ettringen
SEE932259668697,Unterbergen K(Ro)1,unterbergen k 1,Wasser,4.067,86511,Schmiechen
SEE932845933635,Vianden M11,vianden m11,Pumpspeicher,198.0,9463,Stolzembourg
SEE916571034606,Bertoldsheim E K3,bertoldsheim e k3,Wasser,6.3,86643,Rennertshofen
SEE921449009914,Dampfturbine IV CropEnergies Zeitz,dampfturbine iv cropenergies zeitz,Erdgas,17.773,06712,Zeitz
SEE925652456091,Müllheizkraftwerk Kassel M7,müllheizkraftwerk kassel m7,Abfall,8.0,34123,Kassel
SEE903626449133,Faimingen M1,faimingen m1,Wasser,5.045,89415,Lauingen
SEE905647753862,Partition_3,partition_3,Batteriespeicher,3.4,04349,Leipzig
